Platform,Campaign_Name,Adset,Impressions,Reach,Clicks,Likes,Comments,Shares,Conversions,Spend,Revenue,Date
Facebook,Summer Sale,Adset A,45210,37600,980,620,88,34,45,2100.50,3980.20,2023-01-05
Instagram,Festive Offer,Adset B,38000,29000,760,540,75,28,38,1750.90,3120.75,2023-01-06
Facebook,New Launch,Adset C,49210,40120,1430,850,120,41,60,2980.40,5250.15,2023-01-08
Instagram,Brand Awareness,Adset D,55000,43000,660,410,55,16,22,1600.25,2100.60,2023-01-10
Facebook,Clearance Sale,Adset A,31000,26000,890,710,95,25,40,2200.10,4100.45,2023-01-12
Instagram,Summer Sale,Adset B,42000,34000,1120,780,130,38,52,2500.90,4800.80,2023-01-14
Facebook,Festive Offer,Adset C,47750,35500,990,650,82,29,44,2300.35,3750.60,2023-01-15
Instagram,New Launch,Adset D,50800,42000,1380,920,115,46,58,2900.22,5100.90,2023-01-17
Facebook,Brand Awareness,Adset A,36500,29700,540,360,48,15,18,1500.00,2050.35,2023-01-18
Instagram,Clearance Sale,Adset B,33800,27500,880,700,92,22,35,2100.52,3950.80,2023-01-19
Facebook,Summer Sale,Adset C,49600,41000,1450,1020,140,50,62,3100.78,5900.40,2023-01-20
Instagram,Festive Offer,Adset D,45600,36000,900,650,78,20,36,2250.10,3880.55,2023-01-22
Facebook,New Launch,Adset A,52000,43000,1500,1100,150,55,70,3350.65,6400.00,2023-01-23
Instagram,Brand Awareness,Adset B,48000,39000,650,470,60,14,20,1700.40,2300.10,2023-01-24
Facebook,Clearance Sale,Adset C,35000,28500,940,750,110,26,42,2400.70,4250.20,2023-01-25
Instagram,Summer Sale,Adset D,43000,34500,1180,820,135,40,54,2600.33,4950.60,2023-01-27
Facebook,Festive Offer,Adset A,46200,35000,920,620,79,22,38,2150.50,3600.80,2023-01-28
Instagram,New Launch,Adset B,51500,42500,1450,970,130,48,65,3000.44,5600.10,2023-01-29
Facebook,Brand Awareness,Adset C,37200,30000,560,380,52,18,21,1550.20,2200.35,2023-01-30
Instagram,Clearance Sale,Adset D,34000,27800,860,690,90,20,34,2050.75,3800.60,2023-02-01
Facebook,Summer Sale,Adset A,48000,39500,1350,980,148,52,60,2900.90,5400.00,2023-02-02
Instagram,Festive Offer,Adset B,44500,35000,880,610,72,18,33,2100.15,3600.45,2023-02-03
Facebook,New Launch,Adset C,51000,43000,1480,1000,145,55,68,3200.20,6000.12,2023-02-05
Instagram,Brand Awareness,Adset D,47500,38500,630,450,58,14,19,1650.00,2250.10,2023-02-06
Facebook,Clearance Sale,Adset A,33000,27000,900,720,105,30,43,2350.90,4150.30,2023-02-07
Instagram,Summer Sale,Adset B,41500,33800,1100,790,128,42,55,2550.88,4900.40,2023-02-09
Facebook,Festive Offer,Adset C,47000,35500,940,640,78,23,39,2200.10,3700.10,2023-02-10
Instagram,New Launch,Adset D,52800,43800,1520,1080,140,52,67,3400.22,6500.30,2023-02-11
Facebook,Brand Awareness,Adset A,36000,29200,530,350,50,16,20,1500.55,2050.90,2023-02-12
Instagram,Clearance Sale,Adset B,34200,27900,870,680,88,22,33,2000.40,3750.00,2023-02-13
Facebook,Summer Sale,Adset C,49900,41800,1420,1000,135,48,61,3000.30,5850.80,2023-02-14
Instagram,Festive Offer,Adset D,45000,36000,890,630,76,19,35,2150.00,3620.40,2023-02-15
Facebook,New Launch,Adset A,52500,44000,1530,1120,155,58,72,3450.50,6600.90,2023-02-16
Instagram,Brand Awareness,Adset B,48200,39000,640,460,59,15,22,1700.88,2350.22,2023-02-17
Facebook,Clearance Sale,Adset C,34800,28400,920,745,108,27,41,2300.70,4200.10,2023-02-18
Instagram,Summer Sale,Adset D,42800,34000,1150,810,132,39,53,2500.80,4800.40,2023-02-19
Facebook,Festive Offer,Adset A,46500,35400,950,645,81,24,38,2250.40,3680.60,2023-02-20
Instagram,New Launch,Adset B,52000,43200,1470,1010,135,50,65,3100.90,5950.10,2023-02-21
Facebook,Brand Awareness,Adset C,37000,30200,550,370,53,17,21,1550.00,2150.50,2023-02-22
Instagram,Clearance Sale,Adset D,34500,28000,900,720,105,29,41,2300.50,4100.80,2023-02-23
Facebook,Summer Sale,Adset A,49000,39900,1400,950,138,51,63,2950.22,5550.10,2023-02-24
Instagram,Festive Offer,Adset B,44800,35300,920,660,80,21,36,2180.40,3650.60,2023-02-25
Facebook,New Launch,Adset C,51700,43400,1510,1060,150,56,70,3300.88,6200.44,2023-02-26
Instagram,Brand Awareness,Adset D,47000,38200,640,455,57,15,20,1680.00,2300.75,2023-02-27
Facebook,Clearance Sale,Adset A,33300,27300,880,700,92,26,38,2250.55,3950.10,2023-02-28
Instagram,Summer Sale,Adset B,42000,34000,1180,820,135,41,56,2600.40,5000.80,2023-03-01
Facebook,Festive Offer,Adset C,47500,36000,960,655,82,24,40,2230.22,3800.33,2023-03-02
Instagram,New Launch,Adset D,53000,44000,1500,1050,138,50,67,3350.75,6300.55,2023-03-03
Facebook,Brand Awareness,Adset A,36500,29800,530,360,48,16,19,1520.33,2100.89,2023-03-04
Instagram,Clearance Sale,Adset B,35000,28200,880,695,90,21,34,2050.66,3780.40,2023-03-05
Facebook,Summer Sale,Adset C,50200,42000,1430,1010,140,47,63,3050.44,5900.66,2023-03-06
Instagram,Festive Offer,Adset D,45800,36200,900,645,78,20,35,2150.75,3600.40,2023-03-07
Facebook,New Launch,Adset A,53000,44500,1540,1130,158,60,73,3480.80,6700.20,2023-03-08
Instagram,Brand Awareness,Adset B,48900,39200,650,465,61,15,21,1720.55,2400.33,2023-03-09

